hornblende,amphibole
labradorite,feldspar
dipyre,scapolite
carnallite,evaporite
trona,evaporite
bytownite,feldspar
hedenbergite,pyroxene
hectorite,clay
thuringite,chlorite
rivadavite,evaporite
pyrrhotite,sulphide
galena,sulphide
enstatite,pyroxene
magnetite,oxide
zoisite,epidote
cassiterite,oxide
brookite,oxide
limonite,hydroxide
illite,clay
uvarovite,garnet
heulandite,zeolite
chrysotile,serpentine
dolomite,carbonate
tincalconite,evaporite
saponite,clay
monticellite,olivine
annite,biotite
spessartine,garnet
colemanite,evaporite
halite,evaporite
gibbsite,hydroxide
pinnoite,evaporite
prehnite,zeolite
gypsum,evaporite
nephrite,amphibole
margarite,white-mica
witherite,carbonate
cuprite,oxide
anhydrite,evaporite
siderophyllite,white-mica
chromite,oxide
clintonite,white-mica
ilmenite,oxide
corrensite,evaporite
chalcopyrite,sulphide
analcime,zeolite
mascagnite,aps
spodumene,pyroxene
paragonite,clay
stilbite,zeolite
arsenopyrite,sulphide
sphalerite,sulphide
opal,silica
halloysite,clay
quartz,silica
calcite,carbonate
celestite,carbonate
allanite,epidote
andesine,feldspar
jadeite,pyroxene
microcline,feldspar
perthite,feldspar
mizzonite,scapolite
actinolite,amphibole
anthophyllite,amphibole
gaylussite,carbonate
siderite,carbonate
andradite,garnet
phlogopite,biotite
hypersthene,pyroxene
glaucophane,amphibole
anorthite,feldspar
natrolite,zeolite
pigeonite,pyroxene
prochlorite,chlorite
nontronite,clay
alunite,aps
lizardite,serpentine
bronzite,pyroxene
talc,clay
hydroxyl-apatite,apatite
adularia,feldspar
sanidine,feldspar
smaragdite,amphibole
kaolinite,clay
psilomelane,oxide
richterite,amphibole
antigorite,serpentine
pyroxmangite,pyroxene
cookeite,chlorite
diopside,pyroxene
albite,feldspar
strontianite,carbonate
malachite,carbonate
sepiolite,clay
tremolite,amphibole
lepidolite,white-mica
muscovite,white-mica
almandine,garnet
cummingtonite,amphibole
glauconite,white-mica
grossular,garnet
hydrogrossular,garnet
uralite,amphibole
dickite,clay
pyrolusite,oxide
endellite,clay
barite,evaporite
pectolite,zeolite
nepheline,feldspathoid
carbon,organic
xenotime,phosphate
buddingtonite,feldspar
kainite,evaporite
copiapite,sulphate
pyromorphite,phosphate
beidellite,clay
clinoptilolite,zeolite
bloedite,evaporite
rutile,oxide
syngenite,evaporite
elbaite,tourmaline
oligoclase,feldspar
forsterite,olivine
pitch,organic
maghemite,oxide
butlerite,evaporite
epsomite,evaporite
scolecite,zeolite
portlandite,oxide
bastnaesite,carbonate
marialite,scapolite
bassanite,evaporite
chalcedony,silica
chert,silica
lepidocrocite,oxide
rhodonite,pyroxene
howlite,evaporite
nacrite,clay
mirabilite,evaporite
nanohematite,oxide
parisite,carbonate
zircon,zircon
azurite,carbonate
coquimbite,evaporite
ammonio-smectite,clay
ammonio-illite-smect,clay
acmite,pyroxene
aragonite,carbonate
sodium,element
sulfur,element
tourmaline,tourmaline
riebeckite,amphibole
roscoelite,white-mica
eugsterite,evaporite
mordenite,zeolite
vermiculite,clay
fassaite,pyroxene
ancylite,carbonate
rhodochrosite,carbonate
schwertmannite,sulphate
augite,pyroxene
meionite,scapolite
goethite,hydroxide
fluorapatite,apatite
andalusite,andalusite
vesuvianite,vesuvianite
laumontite,zeolite
sphene,titanite
jarosite,sulphate
pyroxene,pyroxene
biotite,biotite
thenardite,evaporite
ammonio-jarosite,sulphate
ferrihydrite,hydroxide
orthoclase,feldspar
amphibole,amphibole
epidote,epidote
sauconite,clay
ulexite,evaporite
staurolite,staurolite
chrysocolla,chrysocolla
pyrophyllite,white-mica
monazite,monazite
knebelite,olivine
zunyite,zunyite
dumortierite,dumortierite
corundum,corundum
kieserite,evaporite
axinite,axinite
lazurite,sodalite
brucite,hydroxide
niter,evaporite
datolite,hydroxide
karpatite,organic
beryl,beryl
serpentine,serpentine
wollastonite,wollastonite
chlorite,chlorite
cinnabar,sulphide
polyhalite,evaporite
diaspore,hydroxide
clinochlore,chlorite
palygorskite,clay
montmorillonite,clay
cronstedtite,serpentine
hematite,oxide
topaz,topaz
olivine,olivine
pyrite,sulphide
chlorapatite,apatite
rectorite,white-mica
